Level 0,Level 1,Level 2,Field,Data Type,Data Description,Example Value,Menu Options,
,,,ParliamentaryConstituency,text,Parliamentary constituency name,Southampton West,,
,,,Country,menu,Country within UK,England,"{England, Wales, Scotland, Northern Ireland}",
,,,Region,menu,Geographic region,South East,"{North East, North West, Yorkshire and The Humber, East Midlands, West Midlands, East of England, London, South East, South West, Wales, Scotland, Northern Ireland}",
,,,UrbanRuralClassification,menu,Urban/rural development classification,Urban,"{Urban, Suburban, Rural}",
,,,LatitudeDegrees,numeric,Geographic latitude coordinate,50.9289,,
,,,LongitudeDegrees,numeric,Geographic longitude coordinate,-1.4317,,
,,,BritishNationalGrid,text,OS National Grid reference,SU 430 110,,
,,,What3Words,text,What3Words location identifier,//famout.honest.pizza,,
,,RiskAssessment,section,N/A,,,,
,,,EAFloodZone,menu,Environment Agency flood zone classification,Zone 2,"{Zone 1, Zone 2, Zone 3a, Zone 3b}",
,,,OverallFloodRisk,menu,Combined flood risk assessment,Medium,"{Very low, Low, Medium, High, Very high}",
,,,FloodRiskType,menu,Primary source of flood risk,River,"{River, Surface water, Groundwater, Coastal, Multiple}",
,,,LastFloodDate,date,Date of most recent flood event,15/2/1975,,
,,,SoilType,menu,Predominant soil composition,Clay,"{Clay, Sandy, Loamy, Chalk, Peat, Rocky, Mixed, Saltpans, Unknown}",
,,,GroundLevelMeters,numeric,Height above sea level in meters,45,,
,,,RiverDistanceMeters,numeric,Distance to nearest river in meters,250,,
,,,LakeDistanceMeters,numeric,Distance to nearest lake in meters,2000,,
,,,CoastalDistanceMeters,numeric,Distance to coastline in meters,12000,,
,,,GovernmentlDefenceScheme,boolean,Covered by government flood defense scheme,FALSE,,
,ProtectionMeasures,,section,N/A,,,,
,,,InsuranceStatus,menu,Current insurance coverage type,Standard cover,"{Uninsured, Standard cover, Flood Re supported, Specialist cover}",
,,,FloodReEligible,boolean,Eligibility for Flood Re scheme,TRUE,,
,,,ClaimsHistory,numeric_count,Number of historical insurance claims,1,,
,,,LastClaimDate,date,Date of most recent insurance claim,2019-03-12,,
,,,LastClaimType,menu,Nature of most recent claim,Flood damage,"{None, Fire, Flood  damage, Subsidence, Domestic appliances",
,,,HouseholdInsuranceID,text,,,,
,,,ParametricInsuranceID,text,,,,
,,ResilienceMeasures,section,N/A,,,,
,,,WarningSystemStatus,menu,Type of flood warning system in place,Other,"{None, Real-time monitoring, Alert via SMS/email, Local emergency response, Other}",
,,,FloodBarriers,boolean,Presence of temporary flood barriers,TRUE,,
,,,FloodPanels,boolean,Presence of permanent flood panels,FALSE,,
,,,AirbrickCovers,boolean,Presence of airbrick flood covers,TRUE,,
,,,WaterproofWalls,boolean,Waterproof wall treatment applied,TRUE,,
,,,ResilientDoors,boolean,Flood-resistant door installation,TRUE,,
,,,RaisedFoundationsMm,numeric_mm,Height of raised foundations,450,,
,,,ReinforcedWalls,boolean,Presence of reinforced wall construction,TRUE,,
,,,PermeablePaving,boolean,Installation of permeable paving,TRUE,,
,,,DrainageSystems,boolean,Enhanced drainage systems present,TRUE,,
,,,WaterDiversion,boolean,Water diversion measures installed,TRUE,,
,,,ElevatedSockets,boolean,Electrical sockets raised above flood level,TRUE,,
,,,NonReturnValve,boolean,Non-return valves installed,TRUE,,
,,,WaterproofFlooring,boolean,Water-resistant flooring installed,TRUE,,
,,,SumpPumpSystem,boolean,Sump pump system installed,FALSE,,
,,NaturalMeasures,section,N/A,,,,
,,,RainGardens,boolean,Presence of rain gardens,FALSE,,
,,,DetentionPonds,boolean,Presence of water detention ponds,FALSE,,
,,,GreenRoof,boolean,Installation of green roof system,FALSE,,
,,,StrategicPlanting,boolean,Strategic flood-resistant landscaping,TRUE,,
,,,Bioswales,boolean,Presence of bioswales,FALSE,,
,,,WaterStorage,boolean,Rainwater storage systems installed,TRUE,,
,EnergyPerformance,,section,N/A,,,,
,,Ratings,section,N/A,,,,
,,,EPCRating,menu,Energy Performance Certificate rating,C,"{A, B, C, D, E, F, G}",
,,,CarbonRating,menu,Carbon emissions rating,B,"{A+, A, B, C, D, E, F}",
,,,EmissionsScore,menu,Overall emissions performance rating,Good,"{Excellent, Good, Fair, Poor, Very poor}",
,,EnergyUsage,section,N/A,,,,
,,,TariffType,menu,Type of energy tariff,Fixed dual fuel,"{Wood Fire, Gas, Electricity, Both}",
,,,AnnualCarbonKgCO2e,numeric_kgCO2e_year,Annual carbon emissions in kg CO2e,3000,,
,,,HeatingSystem,menu,Primary heating system type,Gas central heating,"{Gas central heating, Electric heating, Heat pump, Oil heating, Other}",
,,,RenewableSystem,menu,Type of renewable energy system,Solar PV,"{None, Solar PV, Solar thermal, Heat pump, Multiple}",
,,,AnnualEnergyKwh,numeric_kwh_year,Total annual energy consumption,12000,,
,,,GridElectricityKwh,numeric_kwh_year,Annual grid electricity usage,3500,,
,,,GasUsageKwh,numeric_kwh_year,Annual gas consumption,8000,,
,,,SolarGenerationKwh,numeric_kwh_year,Annual solar energy generation,500,,
,,,AnnualEnergyBill,numeric_gbp_year,Total annual energy cost,2950,,
,,BuildingFabric,section,N/A,,,,
,,,WallConstruction,menu,Type of wall construction,Cavity brick,"{Solid brick, Cavity brick, Timber frame, Modern methods of construction, Stone, System build, Concrete}",
,,,CavityInsulation,boolean,Presence of cavity wall insulation,TRUE,,
,,,ThermalBridgeScore,numeric_score,Thermal bridging performance score,0.8,,
,,,LoftInsulationMm,numeric_mm,Thickness of loft insulation,270,,
,,,RoofType,menu,Type of roof construction,Pitched with tiles,"{Flat roof, Pitched with tiles, Pitched with slate, Pitched with other, Mansard, Barrel vault, Green roof, Mixed}",
,,,FloorConstruction,menu,Type of floor construction,Solid concrete,"{Solid concrete, Suspended timber, Suspended concrete, Beam and block, Mixed construction}",
,,,FloorInsulation,boolean,Presence of floor insulation,TRUE,,
,,,HeatingSys,menu,Type of heating system,Combi boiler,"{Combi boiler, System boiler, Regular boiler, Electric storage heaters, Air source heat pump, Ground source heat pump, District heating, Biomass boiler, Direct electric, Hybrid system}",
,,,WaterHeating,menu,Type of water heating system,Gas combi,"{Gas combi, Gas system with cylinder, Electric immersion, Heat pump, Solar thermal, District heating, Instant electric, Gas multipoint}",
,,,LightingType,menu,Primary type of lighting,LED,"{LED, Compact fluorescent, Halogen, Mixed types, Traditional, Smart LED}",
,,,AirTightnessScore,numeric_score,Air leakage test score,4.2,,
,,,GlazingType,menu,Type of window glazing,Double,"{Single, Double, Triple, Secondary glazing, Mixed types, Low-E coated, Solar control}",
,,,WindowFrameType,menu,Material of window frames,uPVC,"{uPVC, Timber, Aluminum, Composite, Steel, Mixed materials}",
,,,DoorType,menu,Material of external doors,Composite,"{uPVC, Timber, Composite, Aluminum, Steel, Mixed materials, Traditional}",
,,,SmartMeterType,menu,Type of energy meter installed,Smart meter with export,"{None, Basic meter, Smart meter, Smart meter with export capability, Smart prepayment}",
,History,,section,N/A,,,,
,,FloodEvents,section,N/A,,,,
,,,FloodReturnPeriod,numeric_score,Expected years between flood events,100,"{50, 100, 200, 500, 1000}",
,,,FloodDamageSeverity,menu,Severity of flood damage,Minor damage,"{No damage, Minor damage, Moderate damage, Significant damage, Severe damage}",
,,,LastFloodDate,date,Date of most recent flood event,2019-03-12,,
,,GroundConditions,section,N/A,,,,
,,,SubsidenceStatus,menu,Current subsidence condition,No issues,"{No issues, Minor movement, Moderate subsidence, Severe subsidence, Under investigation}",
,,,ContaminationStatus,menu,Ground contamination status,None detected,"{None detected, Historical industrial, Remediated, Current contamination, Under investigation}",
,,,GroundStability,menu,Ground stability assessment,Stable,"{Stable, Minor concerns, Moderate risk, High risk, Active movement}",
,,,LastGroundIssueDate,date,Date of last ground-related issue,2019-08-22,,
,,EnvironmentalIssues,section,N/A,,,,
,,,AirQuality,menu,Local air quality rating,Moderate,"{Low, Moderate, High, Very high, Exceeds limits}",
,,,WaterQuality,menu,Local water quality rating,Good,"{Excellent, Good, Fair, Poor, Very poor}",
,,,NoisePollution,menu,Type of noise pollution present,None,"{None, Traffic, Planes, Train}",
,,,LastEnvironmentalIssueDate,date,Date of last environmental issue,2023-11-30,,
,,FireIncidents,section,N/A,,,,
,,,FireDamageSeverity,menu,Severity of fire damage,None,"{None, Minor, Moderate, Severe, Total loss}",
,,,LastFireDate,date,Date of most recent fire incident,,,
,TransactionHistory,,section,N/A,,,,
,,Sales,section,N/A,,,,
,,,SalePriceGbp,numeric_gbp,Most recent sale price,325000,,
,,,SaleDate,date,Date of most recent,2023-06-15,,
,,,PreviousOwner,text,,Smith Family,,
,,,MarketingDays,numeric_days,,45,,
,,Rental,section,N/A,,,,
,,,RentalHistory,menu,,Mixed use history,"{Never rented, Previously rented, Currently rented, Mixed use history}",
,,,MonthlyRentGbp,numeric_gbp_month,,1200,,
,,,VacancyCount,numeric_count,,2,,
,,,TenancyDuration,menu,,12-24 months,"{0-6 months, 6-12 months, 12-24 months, 24-36 months, 36+ months}",
,,,,,,,,
