Level 0,Level 1,Level 2,Field,Data Type,Data Description,Example Value,Menu Options,
,,,ElevatedSockets,boolean,Electrical sockets raised above flood level,TRUE,,
,,,NonReturnValve,boolean,Non-return valves installed,TRUE,,
,,,WaterproofFlooring,boolean,Water-resistant flooring installed,TRUE,,
,,,SumpPumpSystem,boolean,Sump pump system installed,FALSE,,
,,,SprinklerSystem,boolean,Automatic sprinkler system installed,TRUE,,
,,,FireSuppressionType,menu,Type of fire suppression system,Water sprinkler,"{None, Water sprinkler, Gas suppression, Foam system, Mixed}",
,,,SecuritySystem,menu,Type of security system,Full monitoring,"{None, Basic alarm, CCTV, Full monitoring, 24/7 security}",
,,,EmergencyPower,boolean,Emergency power system present,TRUE,,
,,,BusinessContinuity,boolean,Business continuity plan in place,TRUE,,
,,NaturalMeasures,section,,,,,
,,,RainGardens,boolean,Presence of rain gardens,FALSE,,
,,,DetentionPonds,boolean,Presence of water detention ponds,FALSE,,
,,,GreenRoof,boolean,Installation of green roof system,FALSE,,
,,,StrategicPlanting,boolean,Strategic flood-resistant landscaping,TRUE,,
,,,Bioswales,boolean,Presence of bioswales,FALSE,,
,,,WaterStorage,boolean,Rainwater storage systems installed,TRUE,,
,EnergyPerformance,,section,,,,,
,,Ratings,section,,,,,
,,,EPCRating,menu,Energy Performance Certificate rating,C,"{A, B, C, D, E, F, G}",
,,,CarbonRating,menu,Carbon emissions rating,B,"{A+, A, B, C, D, E, F}",
,,,EmissionsScore,menu,Overall emissions performance rating,Good,"{Excellent, Good, Fair, Poor, Very poor}",
,,EnergyUsage,section,,,,,
,,,TariffType,menu,Type of energy tariff,Fixed dual fuel,"{Wood Fire, Gas, Electricity, Both}",
,,,AnnualCarbonKgCO2e,decimal,Annual carbon emissions in kg CO2e,3000,,
,,,HeatingSystem,menu,Primary heating system type,Gas central heating,"{Gas central heating, Electric heating, Heat pump, Oil heating, Other}",
,,,RenewableSystem,menu,Type of renewable energy system,Solar PV,"{None, Solar PV, Solar thermal, Heat pump, Multiple}",
,,,AnnualEnergyKwh,decimal,Total annual energy consumption (kwh_year),12000,,
,,,GridElectricityKwh,decimal,Annual grid electricity usage (kwh_year),3500,,
,,,GasUsageKwh,decimal,Annual gas consumption (kwh_year),8000,,
,,,SolarGenerationKwh,decimal,Annual solar energy generation (kwh_year),500,,
,,,AnnualEnergyBill,decimal,Total annual energy cost (gbp_year),2950,,
,,BuildingFabric,section,,,,,
,,,WallConstruction,menu,Type of wall construction,Cavity brick,"{Solid brick, Cavity brick, Timber frame, Modern methods of construction, Stone, System build, Concrete}",
,,,CavityInsulation,boolean,Presence of cavity wall insulation,TRUE,,
,,,ThermalBridgeScore,decimal,Thermal bridging performance score,0.8,,
,,,LoftInsulationMm,decimal,Thickness of loft insulation (mm),270,,
,,,RoofType,menu,Type of roof construction,Pitched with tiles,"{Flat roof, Pitched with tiles, Pitched with slate, Pitched with other, Mansard, Barrel vault, Green roof, Mixed}",
,,,FloorConstruction,menu,Type of floor construction,Solid concrete,"{Solid concrete, Suspended timber, Suspended concrete, Beam and block, Mixed construction}",
,,,FloorInsulation,boolean,Presence of floor insulation,TRUE,,
,,,HeatingSys,menu,Type of heating system,Combi boiler,"{Combi boiler, System boiler, Regular boiler, Electric storage heaters, Air source heat pump, Ground source heat pump, District heating, Biomass boiler, Direct electric, Hybrid system}",
,,,WaterHeating,menu,Type of water heating system,Gas combi,"{Gas combi, Gas system with cylinder, Electric immersion, Heat pump, Solar thermal, District heating, Instant electric, Gas multipoint}",
,,,LightingType,menu,Primary type of lighting,LED,"{LED, Compact fluorescent, Halogen, Mixed types, Traditional, Smart LED}",
,,,AirTightnessScore,decimal,Air leakage test score,4.2,,
,,,GlazingType,menu,Type of window glazing,Double,"{Single, Double, Triple, Secondary glazing, Mixed types, Low-E coated, Solar control}",
,,,WindowFrameType,menu,Material of window frames,uPVC,"{uPVC, Timber, Aluminum, Composite, Steel, Mixed materials}",
,,,DoorType,menu,Material of external doors,Composite,"{uPVC, Timber, Composite, Aluminum, Steel, Mixed materials, Traditional}",
,,,SmartMeterType,menu,Type of energy meter installed,Smart meter with export,"{None, Basic meter, Smart meter, Smart meter with export capability, Smart prepayment}",
,,,IndustrialProcessLoad,numeric_kwh_year,Annual energy use from industrial processes,250000,,
,,,ProcessCooling,boolean,Process cooling systems present,TRUE,,
,,,CompressedAir,boolean,Compressed air systems present,TRUE,,
,History,,section,,,,,
,,FloodEvents,section,,,,,
,,,FloodReturnPeriod,integer,Expected flood return period (from modelled output),100,"{50, 100, 200, 500, 1000}",
,,,FloodDamageSeverity,menu,Severity of flood damage,Minor damage,"{No damage, Minor damage, Moderate damage, Significant damage, Severe damage}",
,,,LastFloodDate,date,Date of most recent flood event,12/03/2019,,
,,GroundConditions,section,,,,,
,,,SubsidenceStatus,menu,Current subsidence condition,No issues,"{No issues, Minor movement, Moderate subsidence, Severe subsidence, Under investigation}",
,,,ContaminationStatus,menu,Ground contamination status,None detected,"{None detected, Historical industrial, Remediated, Current contamination, Under investigation}",
,,,GroundStability,menu,Ground stability assessment,Stable,"{Stable, Minor concerns, Moderate risk, High risk, Active movement}",
,,,LastGroundIssueDate,date,Date of last ground-related issue,22/08/2022,,
,,EnvironmentalIssues,section,,,,,
,,,AirQuality,menu,Local air quality rating,Moderate,"{Low, Moderate, High, Very high, Exceeds limits}",
,,,WaterQuality,menu,Local water quality rating,Good,"{Excellent, Good, Fair, Poor, Very poor}",
,,,NoisePollution,menu,Type of noise pollution present,None,"{None, Traffic, Planes, Train}",
,,,LastEnvironmentalIssueDate,date,Date of last environmental issue,30/11/2018,,
,,FireIncidents,section,,,,,
,,,FireDamageSeverity,menu,Severity of fire damage,None,"{None, Minor, Moderate, Severe, Total loss}",
,,,LastFireDate,date,Date of most recent fire incident,,,
,EnergyPerformance,,section,,,,,
,,Ratings,section,,,,,
,,,EPCRating,menu,Energy Performance Certificate rating,C,"{A, B, C, D, E, F, G}",
,,,CarbonRating,menu,Carbon emissions rating,B,"{A+, A, B, C, D, E, F}",
,,,EmissionsScore,menu,Overall emissions performance rating,Good,"{Excellent, Good, Fair, Poor, Very poor}",
,,EnergyUsage,section,,,,,
,,,TariffType,menu,Type of energy tariff,Fixed dual fuel,"{Wood Fire, Gas, Electricity, Both}",
,,,AnnualCarbonKgCO2e,decimal,Annual carbon emissions in kg CO2e,3000,,
,,,HeatingSystem,menu,Primary heating system type,Gas central heating,"{Gas central heating, Electric heating, Heat pump, Oil heating, Other}",
,,,RenewableSystem,menu,Type of renewable energy system,Solar PV,"{None, Solar PV, Solar thermal, Heat pump, Multiple}",
,,,AnnualEnergyKwh,decimal,Total annual energy consumption (kwh_year),12000,,
,,,GridElectricityKwh,decimal,Annual grid electricity usage (kwh_year),3500,,
,,,GasUsageKwh,decimal,Annual gas consumption (kwh_year),8000,,
,,,SolarGenerationKwh,decimal,Annual solar energy generation (kwh_year),500,,
,,,AnnualEnergyBill,decimal,Total annual energy cost (gbp_year),2950,,
,,BuildingFabric,section,,,,,
,,,WallConstruction,menu,Type of wall construction,Cavity brick,"{Solid brick, Cavity brick, Timber frame, Modern methods of construction, Stone, System build, Concrete}",
,,,CavityInsulation,boolean,Presence of cavity wall insulation,TRUE,,
,,,ThermalBridgeScore,decimal,Thermal bridging performance score,0.8,,
,,,LoftInsulationMm,decimal,Thickness of loft insulation (mm),270,,
,,,RoofType,menu,Type of roof construction,Pitched with tiles,"{Flat roof, Pitched with tiles, Pitched with slate, Pitched with other, Mansard, Barrel vault, Green roof, Mixed}",
,,,FloorConstruction,menu,Type of floor construction,Solid concrete,"{Solid concrete, Suspended timber, Suspended concrete, Beam and block, Mixed construction}",
,,,FloorInsulation,boolean,Presence of floor insulation,TRUE,,
,,,HeatingSys,menu,Type of heating system,Combi boiler,"{Combi boiler, System boiler, Regular boiler, Electric storage heaters, Air source heat pump, Ground source heat pump, District heating, Biomass boiler, Direct electric, Hybrid system}",
,,,WaterHeating,menu,Type of water heating system,Gas combi,"{Gas combi, Gas system with cylinder, Electric immersion, Heat pump, Solar thermal, District heating, Instant electric, Gas multipoint}",
,,,LightingType,menu,Primary type of lighting,LED,"{LED, Compact fluorescent, Halogen, Mixed types, Traditional, Smart LED}",
,,,AirTightnessScore,decimal,Air leakage test score,4.2,,
,,,GlazingType,menu,Type of window glazing,Double,"{Single, Double, Triple, Secondary glazing, Mixed types, Low-E coated, Solar control}",
,,,WindowFrameType,menu,Material of window frames,uPVC,"{uPVC, Timber, Aluminum, Composite, Steel, Mixed materials}",
,,,DoorType,menu,Material of external doors,Composite,"{uPVC, Timber, Composite, Aluminum, Steel, Mixed materials, Traditional}",
,,,SmartMeterType,menu,Type of energy meter installed,Smart meter with export,"{None, Basic meter, Smart meter, Smart meter with export capability, Smart prepayment}",
,History,,section,,,,,
,,,HSEIncidents,numeric_count,Number of health & safety incidents,2,,
,,,LastHSEIncidentDate,date,Date of last HSE incident,30/11/2022,,
,,FloodEvents,section,,,,,
,,,FloodReturnPeriod,integer,Expected flood return period (from modelled output),100,"{50, 100, 200, 500, 1000}",
,,,FloodDamageSeverity,menu,Severity of flood damage,Minor damage,"{No damage, Minor damage, Moderate damage, Significant damage, Severe damage}",
,,,LastFloodDate,date,Date of most recent flood event,12/03/2019,,
,,GroundConditions,section,,,,,
,,,SubsidenceStatus,menu,Current subsidence condition,No issues,"{No issues, Minor movement, Moderate subsidence, Severe subsidence, Under investigation}",
,,,ContaminationStatus,menu,Ground contamination status,None detected,"{None detected, Historical industrial, Remediated, Current contamination, Under investigation}",
,,,GroundStability,menu,Ground stability assessment,Stable,"{Stable, Minor concerns, Moderate risk, High risk, Active movement}",
,,,LastGroundIssueDate,date,Date of last ground-related issue,22/08/2022,,
,,EnvironmentalIssues,section,,,,,
,,,AirQuality,menu,Local air quality rating,Moderate,"{Low, Moderate, High, Very high, Exceeds limits}",
,,,WaterQuality,menu,Local water quality rating,Good,"{Excellent, Good, Fair, Poor, Very poor}",
,,,NoisePollution,menu,Type of noise pollution present,None,"{None, Traffic, Planes, Train}",
,,,LastEnvironmentalIssueDate,date,Date of last environmental issue,30/11/2018,,
,,FireIncidents,section,,,,,
,,,FireDamageSeverity,menu,Severity of fire damage,None,"{None, Minor, Moderate, Severe, Total loss}",
,,,LastFireDate,date,Date of most recent fire incident,,,
,TransactionHistory,,section,,,,,
,,BusinessHistory,section,,,,,
,,,PreviousUseType,menu,Previous business use type,Manufacturing,"{Retail, Office, Manufacturing, Storage, Mixed}",
,,,ChangeOfUseDate,date,Date of last use type change,21/03/2015,,
,,Sales,section,,,,,
,,,SalePriceGbp,decimal,Most recent sale price (gbp),325000,,
,,,SaleDate,date,Date of most recent,15/06/2007,,
,,,PreviousOwner,text,,Smith Family,,
,,,MarketingDays,integer,days,45,,
,,Rental,section,,,,,
,,,RentalHistory,menu,,Mixed use history,"{Never rented, Previously rented, Currently rented, Mixed use history}",
,,,MonthlyRentGbp,decimal,gbp per month,1200,,
,,,VacancyCount,integer,,2,,
,,,TenancyDuration,menu,,12-24 months,"{0-6 months, 6-12 months, 12-24 months, 24-36 months, 36+ months}",
,,,,,,,,
