Level 0,Level 1,Level 2,Field,Data Type,Data Description,Example Value,Menu Options,,,,,,,
,,,RestructureFlag,boolean,Indicates if loan has been restructured,FALSE,,,,,,,,
,,,RestructureDate,date,Date of loan restructuring,,,,,,,,,
,,,WriteOffAmount,decimal,Amount written off due to default,0,,,,,,,,
,,,RepossessionFlag,boolean,Indicates if property has been repossessed,FALSE,,,,,,,,
,,,RepossessionDate,date,Date of property repossession,,,,,,,,,
,BorrowerDetails,,section,,,,,,,,,,,
,,,MaritalStatus,menu,Borrower's marital status,Married,"{Single, Married, Divorced, Widowed, Civil Partnership, Separated}",,,,,,,
,,,FamilyMembers,integer,Number of family members in household,3,,,,,,,,
,,,BorrowerIncome,decimal,Borrower's annual income,75000,,,,,,,,
,,,BorrowerCreditScore,integer,Borrower's credit score,725,,,,,,,,
,,,BorrowerEmployment,menu,Borrower's employment status,Employed,"{Employed, Self-employed, Retired, Unemployed, Student}",,,,,,,
,,,YearsInCurrentEmployment,integer,Years at current employment,5,,,,,,,,
,,,SecondaryIncome,decimal,Additional annual income,15000,,,,,,,,
,,,IncomeVerificationType,menu,Method used to verify income,Payslips,"{Payslips, Bank Statements, Tax Returns, Self-Assessment, Other}",,,,,,,
,,,BorrowerAge,integer,Age of primary borrower,35,,,,,,,,
,,,BorrowerNationality,menu,Nationality of borrower,UK,"{UK, EU, Non-EU}",,,,,,,
,,,ResidencyStatus,menu,Borrower's residency status,UK Citizen,"{UK Citizen, Permanent Resident, Temporary Resident, Other}",,,,,,,
,RiskMetrics,,section,,,,,,,,,,,
,,,AffordabilityRatio,decimal,Ratio of income to mortgage payments,3.2,,,,,,,,
,,,DebtServiceRatio,decimal,Ratio of debt payments to income,0.28,,,,,,,,
,,,StressTestRate,decimal,Interest rate used for stress testing,7,,,,,,,,
,,,RefinanceIncentive,integer,Score indicating likelihood of refinancing,7,"{1, ..., 10}",,,,,,,
,,,PrepaymentRisk,integer,Score indicating risk of early repayment,4,"{1, ..., 10}",,,,,,,
,,,BehavioralScore,integer,Overall borrower behavior score,85,"{1, ..., 100}",,,,,,,
,HouseholdInsurance,,section,,,,,,,,,,,
,,,InsurerName,text,Name of insurance company,Liberty Mutual Re,,,,,,,,
,,,InsurancePolicyID,text,Insurance policy reference number,MPI789012,,,,,,,,
,Regulatory,,section,,,,,,,,,,,
,,Common,BusinessOrCommercialPurpose,boolean,Indicates if loan is for business purpose,FALSE,,,,,,,,
,,,FCAReferenceNumber,text,Financial Conduct Authority reference number,123456,,,,,,,,
,,,AdvisedFlag,boolean,Indicates if mortgage advice was provided,TRUE,,,,,,,,
,,,ExecutionOnlyFlag,boolean,Indicates if mortgage was execution-only,FALSE,,,,,,,,
,,,ExecutionOnlyEligibilityFlag,boolean,Indicates if customer eligible for execution-only,TRUE,,,,,,,,
,,,InteractiveSaleFlag,boolean,Indicates if sale was interactive,TRUE,,,,,,,,
,,,DistanceMarketingFlag,boolean,Indicates if distance marketing rules apply,FALSE,,,,,,,,
,,,RecordKeepingCompliantFlag,boolean,Indicates compliance with record keeping rules,TRUE,,,,,,,,
,,,VulnerableCustomerFlag,boolean,Indicates if customer is vulnerable,FALSE,,,,,,,,
,,MCOB,MMRCompliantFlag,boolean,Compliant with Mortgage Market Review rules,TRUE,,,,,,,,
,,,CrossBorderPassportingFlag,boolean,Indicates cross-border service provision,FALSE,,,,,,,,
,,,OriginatingMemberState,text,Country where mortgage originated,UK,,,,,,,,
,,,ESISProvidedDate,date,Date ESIS document provided,15/01/2024,,,,,,,,
,,,ESISVersion,text,Version of ESIS document provided,v2.1,,,,,,,,
,,,CoolingOffPeriodDays,integer,Length of cooling off period,14,,,,,,,,
,,,ForeignCurrencyLoanFlag,boolean,Indicates if loan is in foreign currency,FALSE,,,,,,,,
,,,ExchangeRateProtectionType,menu,Type of exchange rate protection,None,"{None, Cap, Warning, Right to Convert}",,,,,,,
,,,AdviceRejectionFlag,boolean,Indicates if mortgage advice was rejected,FALSE,,,,,,,,
,,,AdviceRejectionReason,text,Reason for rejecting mortgage advice,Rate too high,,,,,,,,
,,,APRCInitialRate,decimal,Initial Annual Percentage Rate of Charge,4.2,,,,,,,,
,,,APRCSecondaryRate,decimal,Secondary Annual Percentage Rate of Charge,6.5,,,,,,,,
,,,StressTestCompliantFlag,boolean,Indicates compliance with stress testing rules,TRUE,,,,,,,,
,,,AffordabilityAssessmentDate,date,Date of affordability assessment,10/01/2024,,,,,,,,
,,,MortgageClubCode,text,Code identifying mortgage club,MC123,,,,,,,,
,,,IntermediaryCode,text,Code identifying mortgage intermediary,INT456,,,,,,,,
,,,InitialDisclosureProvidedDate,date,Date initial disclosure provided,10/01/2024,,,,,,,,
,,,InitialDisclosureMethod,menu,Method of providing initial disclosure,Written,"{Written, Oral, Both}",,,,,,,
,,,CancellationRightsFlag,boolean,Indicates if cancellation rights apply,TRUE,,,,,,,,
,,,SuitabilityAssessmentDate,date,Date of suitability assessment,10/01/2024,,,,,,,,
,,,AdviceRetentionPeriod,integer,Period for retaining advice records,36,,,,,,,,
,,HMDA,HMDAReportableFlag,boolean,Subject to HMDA reporting requirements,TRUE,,,,,,,,
,,,HMDAHOEPAStatus,boolean,Subject to HOEPA requirements,FALSE,,,,,,,,
,,,HMDARateSpread,decimal,HMDA rate spread calculation,2.25,,,,,,,,
,,,ManufacturedHomeSecured,boolean,Secured by manufactured/mobile home,FALSE,,,,,,,,
,,,ManufacturedHomeLandPropertyInterest,menu,Type of land interest for manufactured home,None,"{DirectOwnership, IndirectOwnership, PaidLeasehold, UnpaidLeasehold}",,,,,,,
,,,,,,,,,,,,,,
